Feature ID	Taxon	Confidence
b8f50a61ec5747f8623a029370922086	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Xanthobacteraceae;D_5__Bradyrhizobium	0.8021347915770746
3214d46cf703b013370eaccaa5932810	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Xanthobacteraceae;D_5__uncultured	0.7519121322498762
0860dd50fea415a28de30a34803f2cc6	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__RCP2-54;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.9988818654917292
ba71eae8f76317e82865417f81be041d	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Chthoniobacterales;D_4__Chthoniobacteraceae;D_5__Candidatus Udaeobacter	0.9999996965241225
6c55bfcb0863844bb95b09f00ab24876	D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 2	0.9999999999960183
74575ed12bacb8cc9dcee161cd681989	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Elsterales;D_4__uncultured	0.9999991275395606
7edc32b1b0980e621f2c503789567ec4	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Chthoniobacterales;D_4__Xiphinematobacteraceae;D_5__Candidatus Xiphinematobacter;D_6__uncultured Verrucomicrobia bacterium	0.7672170086122639
ca408eb4f3b493df091dd108e5893095	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Xanthobacteraceae;D_5__uncultured	0.8480082597628852
1d190034b8d846024858691b8b73dbd6	D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured	0.9993326983654094
f6e7272fd3c997d9e9e6892c3d5613e2	D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Acidobacteriales;D_4__uncultured	0.9999999072411774
2ad8d87b53fe5f075ffc87161c0927bf	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Chthoniobacterales;D_4__Chthoniobacteraceae;D_5__Candidatus Udaeobacter	0.9999997926513037
3192ac77c2abbb82aa55380d59496f39	D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Planctomycetales;D_4__uncultured	0.9999999632381595
6b4373a521c4dab93cc7f219b683166f	D_0__Bacteria;D_1__Rokubacteria;D_2__NC10;D_3__Rokubacteriales;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.7435299942791302
b9e85ff8e95935a250bcca9ac1772d77	D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia;D_3__Subgroup 2	0.99999999999999
eba5ad1ae4eda9647a1d44b045f60e7f	D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4);D_3__11-24	0.9999993147605107
